code,lat,long,name_th,province,amphoe,tambon
432201,14.8759777777778,103.496661111111,สุรินทร์,สุรินทร์,เมืองสุรินทร์,นอกเมือง
566202,8.10348888888889,98.9753888888889,กระบี่,กระบี่,เหนือคลอง,เหนือคลอง
552401,8.42676944444444,99.5033,ฉวาง,นครศรีธรรมราช,ฉวาง,ฉวาง
432401,15.3177277777778,103.676683333333,ท่าตูม,สุรินทร์,ท่าตูม,ท่าตูม
383201,16.5432555555556,104.7254,มุกดาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร
551401,8.57208611111111,99.2552166666667,พระแสง สอท.,สุราษฎร์ธานี,พระแสง,อิปัน
436401,14.6326888888889,102.717747222222,นางรอง,บุรีรัมย์,นางรอง,หนองโบสถ์
564201,7.88439444444444,98.3918944444445,ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,ตลาดใหญ่
331201,18.7668944444444,100.763491666667,น่าน,น่าน,เมืองน่าน,ดู่ใต้
431401,14.7394972222222,102.164722222222,โชคชัย,นครราชสีมา,โชคชัย,โชคชัย
356201,17.15655,104.133302777778,สกลนคร,สกลนคร,เมืองสกลนคร,ธาตุเชิงชุม
459202,13.1627777777778,100.80285,เกาะสีชัง,ชลบุรี,เกาะสีชัง,ท่าเทววงษ์
405201,16.0542027777778,103.660472222222,ร้อยเอ็ด,ร้อยเอ็ด,เมืองร้อยเอ็ด,ในเมือง
436201,15.2274833333333,103.244336111111,บุรีรัมย์,บุรีรัมย์,สตึก,ร่อนทอง
431201,14.9701861111111,102.082408333333,นครราชสีมา,นครราชสีมา,เมืองนครราชสีมา,ในเมือง
