"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"AU.BK","After You Public Company Limited",12.7,0,"0.00%","2.5M","4.027M",1.0358e+13,"105.83",NA
"TSTH.BK","Tata Steel (Thailand) Public Company Limited",1.22,-0.01,"-0.81%","3.289M","5.995M",1.0274e+13,"6.42",NA
"HUMAN.BK","Humanica Public Company Limited",11.8,0,"0.00%","1.43M","1.913M",1.0236e+13,"59.00",NA
"SPA.BK","Siam Wellness Group Public Company Limited",11.9,-0.1,"-0.83%","434,407","2.575M",1.0174e+13,"N/A",NA
"VNG.BK","Vanachai Group Public Company Limited",5.8,-0.05,"-0.85%","159,402","357,318",1.0064e+13,"8.29",NA
"KGI.BK","KGI Securities (Thailand) Public Company Limited",5.05,-0.05,"-0.98%","763,255","1.833M",1.0058e+13,"8.02",NA
"ICC.BK","I.C.C. International Public Company Limited",34.5,-1,"-2.82%","7,800","3,059",1.0039e+13,"25.00",NA
"OTO.BK","One to One Contacts Public Company Limited",17.9,0.9,"+5.29%","7.069M","1.551M",1.0024e+13,"1,790.00",NA
"SIS.BK","SiS Distribution (Thailand) Public Company Limited",28.5,0.25,"+0.88%","360,705","300,642",9.981e+12,"13.07",NA
"BBGI.BK","BBGI Public Company Limited",6.85,-0.05,"-0.72%","1.589M","1.419M",9.905e+12,"171.25",NA
"BRI.BK","Britania Public Company Limited",11.6,0,"0.00%","1.052M","3.237M",9.893e+12,"7.79",NA
"ILM.BK","Index Living Mall Public Company Limited",19.4,0.2,"+1.04%","850,415","854,937",9.797e+12,"15.65",NA
"BOL.BK","Business Online Public Company Limited",11.8,-0.4,"-3.28%","922,201","819,709",9.682e+12,"36.88",NA
"TR.BK","Thai Rayon Public Company Limited",47.75,0,"0.00%","2,800","4,704",9.626e+12,"2.97",NA
"SA.BK","Siamese Asset Public Company Limited",8.1,-0.05,"-0.61%","37,220","428,411",9.604e+12,"81.00",NA
"SNP.BK","S&P Syndicate Public Company Limited",18.3,0,"0.00%","56,413","65,022",9.385e+12,"20.56",NA
"SSC.BK","Sermsuk Public Company Limited",35,0,"0.00%","8,203","3,408",9.307e+12,"700.00",NA
"RJH.BK","Rajthanee Hospital Public Company Limited",31,0,"0.00%","127,795","390,078",9.28e+12,"7.28",NA
"MC.BK","MC Group Public Company Limited",11.7,0.1,"+0.86%","1.436M","786,496",9.266e+12,"16.03",NA
"GJS.BK","G J Steel Public Company Limited",0.36,0.01,"+2.86%","4.124M","10.326M",9.175e+12,"5.14",NA
"SUC.BK","Saha-Union Public Company Limited",30.5,-0.25,"-0.81%","44,908","56,931",9.15e+12,"12.45",NA
"NRF.BK","NR Instant Produce Public Company Limited",6.45,-0.15,"-2.27%","4.543M","2.896M",9.144e+12,"23.89",NA
"SAT.BK","Somboon Advance Technology Public Company Limited",21.4,0.3,"+1.42%","1.126M","1.949M",9.099e+12,"10.05",NA
"EASTW.BK","Eastern Water Resources Development and Management Public Company Limited",5.45,0,"0.00%","1.816M","1.346M",9.067e+12,"11.12",NA
"ETC.BK","Earth Tech Environment Public Company Limited",4,0,"0.00%","3.598M","9.388M",8.96e+12,"50.00",NA
"AIT.BK","Advanced Information Technology Public Company Limited",6.7,0.05,"+0.75%","17.087M","5.955M",8.919e+12,"335.00",NA
"LANNA.BK","Lanna Resources Public Company Limited",16.8,-0.2,"-1.18%","1.223M","2.138M",8.82e+12,"3.09",NA
"SABINA.BK","Sabina Public Company Limited",24.8,-0.1,"-0.40%","388,602","771,545",8.618e+12,"20.84",NA
"AS.BK","Asiasoft Corporation Public Company Limited",17,-0.2,"-1.16%","925,488","2.762M",8.614e+12,"20.48",NA
"LALIN.BK","Lalin Property Public Company Limited",9.15,0,"0.00%","152,028","290,426",8.464e+12,"6.35",NA
"GRAMMY.BK","GMM Grammy Public Company Limited",10.2,0,"0.00%","2,100","10,039",8.363e+12,"340.00",NA
"PCSGH.BK","P.C.S. Machine Group Holding Public Company Limited",5.4,0.05,"+0.93%","299,401","82,427",8.235e+12,"14.21",NA
"STPI.BK","STP&I Public Company Limited",5.15,-0.1,"-1.90%","3.802M","3.723M",8.233e+12,"64.38",NA
"WORK.BK","Workpoint Entertainment Public Company Limited",18.4,-0.1,"-0.54%","139,203","706,590",8.125e+12,"68.15",NA
"INOX.BK","POSCO-Thainox Public Company Limited",1.04,-0.01,"-0.95%","2.652M","5.012M",8.108e+12,"9.45",NA
"ALUCON.BK","Alucon Public Company Limited",185.5,2.5,"+1.37%","110","1,042",8.014e+12,"11.82",NA
"PRI.BK","Primo Service Solutions Public Company Limited",25,0.2,"+0.81%","2.241M","15.934M",8e+12,"40.32",NA
"FUTUREPF.BK","Future Park Leasehold Property Fund",15.1,0.2,"+1.34%","476,704","100,621",7.996e+12,"N/A",NA
"NOBLE.BK","Noble Development Public Company Limited",5.65,0.1,"+1.80%","4.293M","3.874M",7.737e+12,"62.78",NA
"SHANG.BK","Shangri-La Hotel Public Company Limited",58.75,-0.25,"-0.42%","3,500","7,445",7.637e+12,"N/A",NA
"PRG.BK","PRG Corporation Public Company Limited",11.5,0,"0.00%","5,601","21,568",7.575e+12,"11.86",NA
"WICE.BK","Wice Logistics Public Company Limited",11.6,0.2,"+1.75%","4.062M","4.804M",7.562e+12,"12.08",NA
"QHPF.BK","Quality Houses Leasehold Property Fund",9.4,0,"0.00%","467,894","203,996",7.492e+12,"85.45",NA
"KAMART.BK","Karmarts Public Company Limited",8.45,-0.05,"-0.59%","13.36M","9.564M",7.436e+12,"28.17",NA
"KLINIQ.BK","The Klinique Medical Clinic Public Company Limited",33.75,-0.25,"-0.74%","1.56M","7.527M",7.425e+12,"32.45",NA
"WHAIR.BK","WHA Industrial Leasehold Real Estate Investment Trust",7.8,0.2,"+2.63%","1.754M","573,300",7.407e+12,"9.07",NA
"UVAN.BK","Univanich Palm Oil Public Company Limited",7.85,0.05,"+0.64%","770,107","369,845",7.379e+12,"11.54",NA
"MTI.BK","Muang Thai Insurance Public Company Limited",125,0,"0.00%","23,600","10,365",7.375e+12,"8.78",NA
"GVREIT.BK","Golden Ventures Leasehold Real Estate Investment Trust",9.05,0.05,"+0.56%","787,601","215,018",7.374e+12,"11.46",NA
"RABBIT.BK","Rabbit Holdings Public Company Limited",1.3,0.01,"+0.78%","23.906M","49.211M",7.298e+12,"N/A",NA
"AIMIRT.BK","AIM Industrial Growth Freehold and Leasehold Real Estate Investment Trust",12.2,0,"0.00%","462,001","140,954",7.265e+12,"10.52",NA
"LHHOTEL.BK","LH Hotel Leasehold Real Estate Investment Trust",13.5,0.3,"+2.27%","1.115M","505,416",7.262e+12,"17.31",NA
"SMPC.BK","Sahamitr Pressure Container Public Company Limited",13.5,0,"0.00%","211,652","598,408",7.229e+12,"7.26",NA
"TNL.BK","Thanulux Public Company Limited",34,0,"0.00%","6,800","17,260",7.219e+12,"46.58",NA
"NSL.BK","NSL Foods Public Company Limited",23.7,0.7,"+3.04%","1.523M","1.234M",7.11e+12,"26.93",NA
"CPTGF.BK","C.P. Tower Growth Leasehold Property Fund",7.35,0,"0.00%","239,200","101,016",7.107e+12,"10.50",NA
"BGC.BK","BG Container Glass Public Company Limited",10.2,0,"0.00%","83,942","467,468",7.083e+12,"12.75",NA
"DRT.BK","Diamond Building Products Public Company Limited",8.2,0.05,"+0.61%","107,124","323,439",7.011e+12,"11.88",NA
"TMT.BK","TMT Steel Public Company Limited",8.05,0,"0.00%","72,059","420,554",7.01e+12,"18.72",NA
"OHTL.BK","OHTL Public Company Limited",464,-4,"-0.85%","401","945",7.005e+12,"N/A",NA
"ASW.BK","Assetwise Public Company Limited",8.05,0.05,"+0.63%","334,124","1.126M",6.894e+12,"7.67",NA
"TEAMG.BK","TEAM Consulting Engineering and Management Public Company Limited",10.1,-0.2,"-1.94%","3.62M","5.279M",6.868e+12,"67.33",NA
"TKS.BK","T.K.S. Technologies Public Company Limited",13.3,-0.2,"-1.48%","2.584M","3.67M",6.762e+12,"9.30",NA
"HL.BK","Healthlead Public Company Limited",24.8,0.2,"+0.81%","270,316","663,809",6.746e+12,"63.59",NA
"LPN.BK","L.P.N. Development Public Company Limited",4.54,0,"0.00%","1.977M","4.147M",6.7e+12,"10.81",NA
"TKC.BK","Turnkey Communication Services Public Company Limited",22.3,0.6,"+2.76%","667,801","335,714",6.69e+12,"21.65",NA
"AMATAV.BK","Amata VN Public Company Limited",7.15,0.1,"+1.42%","46,131","95,336",6.685e+12,"4.02",NA
"TNH.BK","Thai Nakarin Hospital Public Company Limited",37,0.75,"+2.07%","5,300","15,200",6.66e+12,"18.69",NA
"AMARIN.BK","Amarin Printing and Publishing Public Company Limited",6.65,0.05,"+0.76%","36,265","82,470",6.639e+12,"14.15",NA
"LHSC.BK","LH Shopping Centers Leasehold Real Estate Investment Trust",13.4,1.2,"+9.84%","1.102M","93,486",6.54e+12,"31.90",NA
"MST.BK","Maybank Securities (Thailand) Public Company Limited",11.4,-0.1,"-0.87%","20,710","41,119",6.507e+12,"10.18",NA
"ASP.BK","Asia Plus Group Holdings Public Company Limited",3.08,-0.02,"-0.65%","926,415","2.394M",6.485e+12,"13.39",NA
"ALLY.BK","Ally Leasehold Real Estate Investment Trust",7.4,0.2,"+2.78%","1.106M","351,408",6.468e+12,"12.33",NA
"BRR.BK","Buriram Sugar Public Company Limited",7.9,-0.1,"-1.25%","1.383M","5.441M",6.416e+12,"6.81",NA
"NTV.BK","Nonthavej Hospital Public Company Limited",40,0,"0.00%","5,027","29,880",6.4e+12,"24.10",NA
"KYE.BK","Kang Yong Electric Public Company Limited",319,0,"0.00%","600","524",6.316e+12,"39.29",NA
"NFC.BK","NFC Public Company Limited",5.7,-0.05,"-0.87%","434,556","2.863M",6.201e+12,"15.00",NA
"UBE.BK","Ubon Bio Ethanol Public Company Limited",1.56,-0.02,"-1.27%","4.891M","8.921M",6.106e+12,"19.50",NA
"ANAN.BK","Ananda Development Public Company Limited",1.46,-0.01,"-0.68%","10.457M","20.051M",6.083e+12,"N/A",NA
"EKH.BK","Ekachai Medical Care Public Company Limited",9,-0.05,"-0.55%","2.659M","6.318M",6.074e+12,"20.45",NA
"METCO.BK","Muramoto Electron (Thailand) Public Company Limited",290,0,"0.00%","7,838","13,018",6.06e+12,"8.60",NA
"UV.BK","Univentures Public Company Limited",3.16,0.02,"+0.64%","574,500","2.904M",6.042e+12,"35.11",NA
"PLUS.BK","Royal Plus Public Company Limited",8.95,-0.15,"-1.65%","4.137M","5.476M",5.996e+12,"28.87",NA
"HTC.BK","Haad Thip Public Company Limited",29.75,0,"0.00%","39,718","192,663",5.986e+12,"14.73",NA
"BOFFICE.BK","Bhiraj Office Leasehold Real Estate Investment Trust",8,0.05,"+0.63%","773,901","110,559",5.903e+12,"13.79",NA
"AJ.BK","A.J. Plast Public Company Limited",13.4,-0.3,"-2.19%","467,234","368,300",5.896e+12,"14.11",NA
"XO.BK","Exotic Food Public Company Limited",13.7,0.1,"+0.74%","290,010","607,921",5.831e+12,"15.75",NA
"SPG.BK","Siam Pan Group Public Company Limited",16.9,0,"0.00%","102","509",5.83e+12,"15.36",NA
"PRIME.BK","Prime Road Power Public Company Limited",1.37,-0.02,"-1.44%","207,433","515,962",5.829e+12,"N/A",NA
"YGG.BK","Yggdrazil Group Public Company Limited",9.6,0.15,"+1.59%","2.123M","2.985M",5.779e+12,"41.74",NA
"NCAP.BK","Next Capital Public Company Limited",4.24,0.18,"+4.43%","22.897M","16.469M",5.724e+12,"32.62",NA
"IP.BK","Inter Pharma Public Company Limited",15.3,-0.1,"-0.65%","1.306M","966,239",5.7e+12,"35.58",NA
"KWI.BK","KWI Public Company Limited",2.78,-0.06,"-2.11%","2.057M","6.4M",5.683e+12,"N/A",NA
"LRH.BK","Laguna Resorts & Hotels Public Company Limited",34,0,"0.00%","3,300","11,132",5.667e+12,"N/A",NA
"SENA.BK","Sena Development Public Company Limited",3.92,0,"0.00%","987,771","1.506M",5.654e+12,"4.22",NA
"SAMART.BK","Samart Corporation Public Company Limited",5.6,0,"0.00%","1.005M","1.772M",5.636e+12,"N/A",NA
"MONO.BK","Mono Next Public Company Limited",1.61,-0.01,"-0.62%","5.043M","15.183M",5.588e+12,"53.67",NA
"SCG.BK","Sahacogen (Chonburi) Public Company Limited",4.8,0.04,"+0.84%","6,631","75,995",5.586e+12,"N/A",NA
"TFM.BK","Thai Union Feedmill Public Company Limited",11.1,0.1,"+0.91%","130,541","306,947",5.55e+12,"31.71",NA
"POPF.BK","Prime Office Leasehold Property Fund",11.4,0,"0.00%","41,260","217,506",5.491e+12,"15.02",NA
"DDD.BK","Do Day Dream Public Company Limited",17.2,-0.6,"-3.37%","367,115","462,113",5.468e+12,"38.22",NA
"KISS.BK","Rojukiss International Public Company Limited",9.1,0,"0.00%","966,800","3.911M",5.46e+12,"50.56",NA
"TSE.BK","Thai Solar Energy Public Company Limited",2.56,0.02,"+0.79%","7.428M","2.971M",5.421e+12,"10.24",NA
"PM.BK","Premier Marketing Public Company Limited",9.6,0,"0.00%","90,717","449,355",5.358e+12,"17.45",NA
"UNIQ.BK","Unique Engineering and Construction Public Company Limited",4.92,-0.04,"-0.81%","366,310","388,422",5.319e+12,"123.00",NA
"NETBAY.BK","Netbay Public Company Limited",26.5,-0.25,"-0.93%","363,435","364,888",5.3e+12,"33.97",NA
"SENAJ.BK","SENA J Property Public Company Limited",1.26,0.08,"+6.78%","23.923M","26.264M",5.292e+12,"N/A",NA
"WARRIX.BK","Warrix Sport Public Company Limited",8.8,-0.1,"-1.12%","18.474M","34.84M",5.28e+12,"293.33",NA
"TEGH.BK","Thai Eastern Group Holdings Public Company Limited",4.86,-0.08,"-1.62%","16.318M","21.759M",5.249e+12,"7.71",NA
"JR.BK","J.R.W. Utility Public Company Limited",6.9,-0.1,"-1.43%","506,000","970,739",5.244e+12,"30.00",NA
"SNC.BK","SNC Former Public Company Limited",14.3,-0.1,"-0.69%","404,590","750,909",5.18e+12,"7.11",NA
"ITEL.BK","Interlink Telecom Public Company Limited",3.78,-0.06,"-1.56%","5.244M","5.509M",5.158e+12,"18.90",NA
"VIH.BK","Srivichaivejvivat Public Company Limited",9,0.1,"+1.12%","135,105","328,154",5.136e+12,"7.38",NA
"LOXLEY.BK","Loxley Public Company Limited",2.24,-0.04,"-1.75%","140,100","592,878",5.073e+12,"56.00",NA
"POLY.BK","Polynet Public Company Limited",11.2,-0.1,"-0.88%","423,600","22.032M",5.04e+12,"31.11",NA
"ZEN.BK","ZEN Corporation Group Public Company Limited",16.7,0,"0.00%","86,801","390,916",5.01e+12,"42.82",NA
"A5.BK","Asset Five Group Public Company Limited",4.14,0.08,"+1.97%","3.84M","21.83M",5.007e+12,"51.75",NA
"JUBILE.BK","Jubilee Enterprise Public Company Limited",28.5,-0.75,"-2.56%","108,153","87,952",4.967e+12,"14.47",NA
"CPNCG.BK","CPN Commercial Growth Leasehold Property Fund",11.6,0,"0.00%","331,700","137,578",4.949e+12,"11.11",NA
"TEAM.BK","Team Precision Public Company Limited",7.75,-0.05,"-0.64%","3.814M","21.087M",4.937e+12,"20.39",NA
"A.BK","Areeya Property Public Company Limited",4.98,0,"0.00%","2,539","5,055",4.88e+12,"N/A",NA
"M-CHAI.BK","Mahachai Hospital Public Company Limited",304,-2,"-0.65%","23,301","12,847",4.864e+12,"9.22",NA
"3K-BAT.BK","Thai Energy Storage Technology Public Company Limited",62,-1,"-1.59%","200","490",4.861e+12,"30.69",NA
"AUCT.BK","Union Auction Public Company Limited",8.8,-0.1,"-1.12%","437,178","1.332M",4.84e+12,"20.95",NA
"APURE.BK","Agripure Holdings Public Company Limited",5.2,0,"0.00%","650,415","559,014",4.834e+12,"17.93",NA
"AI.BK","Asian Insulators Public Company Limited",6.75,0,"0.00%","287,170","420,568",4.725e+12,"19.29",NA
"MCS.BK","M.C.S. Steel Public Company Limited",9.8,0.05,"+0.51%","840,490","1.069M",4.675e+12,"9.80",NA
"TPRIME.BK","Thailand Prime Property Freehold and Leasehold Real Estate Investment Trust",8.5,0.05,"+0.59%","44,501","136,816",4.654e+12,"14.41",NA
"FPI.BK","Fortune Parts Industry Public Company Limited",3.06,-0.06,"-1.92%","1.966M","4.426M",4.63e+12,"9.87",NA
"PTECH.BK","Plus Tech Innovation Public Company Limited",18.9,-1.5,"-7.35%","173,699","3,134",4.628e+12,"11.96",NA
"MACO.BK","Master Ad Public Company Limited",0.57,0.01,"+1.79%","7.49M","8.279M",4.627e+12,"28.50",NA
"TWPC.BK","Thai Wah Public Company Limited",5.25,0.05,"+0.96%","543,830","318,791",4.622e+12,"13.46",NA
"BROOK.BK","The Brooker Group Public Company Limited",0.49,-0.02,"-3.92%","22.489M","17.308M",4.564e+12,"N/A",NA
"J.BK","JAS Asset Public Company Limited",3.96,-0.06,"-1.49%","1.764M","1.631M",4.516e+12,"20.84",NA
"MILL.BK","Millcon Steel Public Company Limited",0.81,0,"0.00%","9.666M","2.455M",4.499e+12,"20.25",NA
"DREIT.BK","Dusit Thani Freehold and Leasehold Real Estate Investment Trust",6.3,0.05,"+0.80%","200,500","43,575",4.482e+12,"9.69",NA
"SKN.BK","S.Kijchai Enterprise Public Company Limited",5.55,0.4,"+7.77%","2.154M","554,345",4.44e+12,"5.50",NA
"WACOAL.BK","Thai Wacoal Public Company Limited",37,1.75,"+4.96%","301","522",4.44e+12,"54.41",NA
"TK.BK","Thitikorn Public Company Limited",8.85,-0.05,"-0.56%","64,700","225,072",4.425e+12,"10.06",NA
"TPAC.BK","Thai Plaspac Public Company Limited",13.5,0.3,"+2.27%","107,938","60,190",4.408e+12,"15.70",NA
"TOG.BK","Thai Optical Group Public Company Limited",9.25,-0.1,"-1.07%","492,801","210,952",4.387e+12,"11.71",NA
"TIPCO.BK","Tipco Foods Public Company Limited",9.05,0.05,"+0.56%","55,588","259,750",4.367e+12,"16.76",NA
"SO.BK","Siamrajathanee Public Company Limited",9.75,0.1,"+1.04%","18,742","108,401",4.352e+12,"28.68",NA
"KCC.BK","Knight Club Capital Asset Management Public Company Limited",7,-0.1,"-1.41%","1.314M","5.149M",4.34e+12,"53.85",NA
"SITHAI.BK","Srithai Superware Public Company Limited",1.6,-0.01,"-0.62%","1.899M","12.243M",4.336e+12,"12.31",NA
"MICRO.BK","Micro Leasing Public Company Limited",4.6,-0.04,"-0.86%","639,011","1.014M",4.301e+12,"38.33",NA
"THRE.BK","Thai Reinsurance Public Company Limited",1.02,-0.01,"-0.97%","2.246M","2.084M",4.299e+12,"N/A",NA
"LST.BK","Lam Soon (Thailand) Public Company Limited",5.2,0.1,"+1.96%","116,800","107,286",4.264e+12,"9.63",NA
"HFT.BK","Hwa Fong Rubber (Thailand) Public Company Limited",6.45,-0.05,"-0.77%","263,100","302,101",4.247e+12,"8.60",NA
"BEAUTY.BK","Beauty Community Public Company Limited",1.41,0,"0.00%","5.787M","17.456M",4.222e+12,"N/A",NA
"AGE.BK","Asia Green Energy Public Company Limited",3.88,-0.02,"-0.51%","1.835M","5.315M",4.22e+12,"3.26",NA
"TRC.BK","TRC Construction Public Company Limited",0.44,0.06,"+15.79%","317.286M","28.206M",4.218e+12,"N/A",NA
"NYT.BK","Namyong Terminal Public Company Limited",3.38,0.04,"+1.20%","1.813M","782,406",4.191e+12,"18.78",NA
"7UP.BK","Seven Utilities and Power Public Company Limited",0.81,-0.01,"-1.22%","9.016M","26.756M",4.166e+12,"81.00",NA
"SMT.BK","Stars Microelectronics (Thailand) Public Company Limited",4.92,-0.06,"-1.20%","2.347M","5.985M",4.141e+12,"15.38",NA
"TC.BK","Tropical Canning (Thailand) Public Company Limited",12.5,0.1,"+0.81%","1.214M","4.61M",4.125e+12,"8.87",NA
"AMANAH.BK","Amanah Leasing Public Company Limited",3.98,-0.02,"-0.50%","2.827M","2.611M",4.124e+12,"14.21",NA
"TTLPF.BK","Talaad Thai Leasehold Property Fund",22.9,0,"0.00%","3","3,929",4.122e+12,"14.68",NA
"PCC.BK","Precise Corporation Public Company Limited",3.36,-0.02,"-0.59%","2.027M","16.531M",4.121e+12,"16.00",NA
"NNCL.BK","Nava Nakorn Public Company Limited",2.06,0.02,"+0.98%","1.879M","287,795",4.118e+12,"18.73",NA
"SAMTEL.BK","Samart Telcoms Public Company Limited",6.65,-0.05,"-0.75%","214,801","266,163",4.11e+12,"55.42",NA
"PIN.BK","Pinthong Industrial Park Public Company Limited",3.54,0.02,"+0.57%","50,356","184,352",4.106e+12,"27.23",NA
"PF.BK","Property Perfect Public Company Limited",0.41,0,"0.00%","1.939M","6.732M",4.105e+12,"13.67",NA
"TRU.BK","Thai Rung Union Car Public Company Limited",6.75,0,"0.00%","96,417","1.661M",4.079e+12,"12.50",NA
"MALEE.BK","Malee Group Public Company Limited",7.45,0,"0.00%","677,177","935,396",4.066e+12,"N/A",NA
"PSTC.BK","Power Solution Technologies Public Company Limited",1.71,-0.02,"-1.16%","2.057M","3.935M",4.056e+12,"4.07",NA
"DEMCO.BK","Demco Public Company Limited",5.55,-0.05,"-0.89%","460,300","7.019M",4.053e+12,"N/A",NA
"LPH.BK","Ladprao General Hospital Public Company Limited",5.6,-0.05,"-0.88%","200,213","171,155",4.032e+12,"11.91",NA
"EP.BK","Eastern Power Group Public Company Limited",4.3,-0.02,"-0.46%","185,601","228,677",4.01e+12,"5.06",NA
"LEO.BK","Leo Global Logistics Public Company Limited",12.7,-0.1,"-0.78%","507,784","1.223M",4.002e+12,"10.85",NA
"Q-CON.BK","Quality Construction Products Public Company Limited",10,0.2,"+2.04%","509,230","2.745M",4e+12,"18.52",NA
"SUSCO.BK","Susco Public Company Limited",3.98,-0.04,"-1.00%","4.342M","11.717M",3.98e+12,"9.71",NA
"ILINK.BK","Interlink Communication Public Company Limited",7.3,-0.1,"-1.35%","887,446","1.162M",3.969e+12,"9.73",NA
"TACC.BK","T.A.C. Consumer Public Company Limited",6.5,0,"0.00%","1.091M","2.563M",3.952e+12,"16.25",NA
"TGE.BK","Thachang Green Energy Public Company Limited",1.79,0,"0.00%","1.598M","13.13M",3.938e+12,"0.03",NA
"IIG.BK","I&I Group Public Company Limited",37.75,0,"0.00%","298,759","425,486",3.909e+12,"41.03",NA
"AIE.BK","AI Energy Public Company Limited",2.96,0,"0.00%","661,150","2.854M",3.896e+12,"24.67",NA
"TSC.BK","Thai Steel Cable Public Company Limited",14.8,0,"0.00%","34,121","21,080",3.845e+12,"18.50",NA
"CGD.BK","Country Group Development Public Company Limited",0.46,0.02,"+4.55%","55.57M","27.078M",3.802e+12,"4.60",NA
"BEYOND.BK","Bound and Beyond Public Company Limited",13.1,0.2,"+1.55%","312,900","150,057",3.784e+12,"18.45",NA
"TMD.BK","Thai Metal Drum Manufacturing Public Company Limited",25,0,"0.00%","11,000","11,457",3.75e+12,"11.57",NA
"INETREIT.BK","Inet Leasehold Real Estate Investment Trust - Inetreit",11.3,-0.1,"-0.88%","105,502","175,660",3.729e+12,"N/A",NA
"AQUA.BK","Aqua Corporation Public Company Limited",0.65,0,"0.00%","6.771M","65.744M",3.713e+12,"5.00",NA
"MFEC.BK","MFEC Public Company Limited",8.35,0.3,"+3.73%","1.15M","664,583",3.686e+12,"15.18",NA
"PRIN.BK","Prinsiri Public Company Limited",3,0,"0.00%","5,100","110,886",3.66e+12,"9.09",NA
"SCM.BK","Successmore Being Public Company Limited",6,0.05,"+0.84%","59,200","1.336M",3.6e+12,"17.14",NA
"ARIN.BK","Arinsiri Land Public Company Limited",5.9,0.1,"+1.72%","752,300","1.06M",3.54e+12,"N/A",NA
"TVI.BK","Thaivivat Insurance Public Company Limited",11.6,0,"0.00%","100,900","474,598",3.515e+12,"15.47",NA
"MSC.BK","Metro Systems Corporation Public Company Limited",9.7,-0.05,"-0.51%","57,501","195,378",3.492e+12,"11.83",NA
"THIP.BK","Thantawan Industry Public Company Limited",38.75,0,"0.00%","14,964","52,288",3.487e+12,"7.57",NA
"RPH.BK","Ratchaphruek Hospital Public Company Limited",6.35,0.05,"+0.79%","579,822","803,583",3.467e+12,"6.68",NA
"BWG.BK","Better World Green Public Company Limited",0.76,-0.01,"-1.30%","17.911M","13.787M",3.459e+12,"N/A",NA
"PYLON.BK","Pylon Public Company Limited",4.56,-0.08,"-1.72%","997,928","646,983",3.419e+12,"25.33",NA
"CH.BK","Chin Huay Public Company Limited",4.24,-0.06,"-1.40%","2.326M","9.937M",3.392e+12,"28.27",NA
"SST.BK","Sub Sri Thai Public Company Limited",6.4,0,"0.00%","700","57,155",3.369e+12,"91.43",NA
"MCOT.BK","MCOT Public Company Limited",4.86,0,"0.00%","20,103","65,178",3.339e+12,"121.50",NA
"TNR.BK","Thai Nippon Rubber Industry Public Co., Ltd.",11,0.1,"+0.92%","56,801","330,186",3.3e+12,"N/A",NA
"TNP.BK","Thanapiriya Public Company Limited",4.12,-0.04,"-0.96%","250,441","491,700",3.296e+12,"20.60",NA
"UPA.BK","United Power of Asia Public Company Limited",0.25,0,"0.00%","23.829M","61.088M",3.283e+12,"N/A",NA
"SICT.BK","Silicon Craft Technology Public Company Limited",8.2,0,"0.00%","355,420","1.965M",3.28e+12,"37.27",NA
"APCS.BK","Asia Precision Public Company Limited",4.9,0.22,"+4.70%","264,900","103,752",3.234e+12,"30.63",NA
"STI.BK","Stonehenge Inter Public Company Limited",5.35,0.15,"+2.88%","1.053M","1.206M",3.226e+12,"23.26",NA
"CGH.BK","Country Group Holdings Public Company Limited",0.8,0,"0.00%","2.181M","5.886M",3.204e+12,"26.67",NA
"UAC.BK","UAC Global Public Company Limited",4.78,-0.02,"-0.42%","321,701","431,196",3.191e+12,"22.76",NA
"ROH.BK","Royal Orchid Hotel (Thailand) Public Company Limited",3.38,0,"0.00%","132,500","73,554",3.174e+12,"N/A",NA
"NEWS.BK","News Network Corporation Public Company Limited",0.03,0,"0.00%","21.362M","73.165M",3.17e+12,"N/A",NA
"S11.BK","S 11 Group Public Company Limited",5.15,-0.05,"-0.96%","42,102","167,972",3.157e+12,"8.73",NA
"BIOTEC.BK","Bio Green Energy Tech Public Company Limited",1.03,0.03,"+3.00%","86.851M","24.729M",3.134e+12,"4.90",NA
"SPRIME.BK","S Prime Growth Leasehold Real Estate Investment Trust",7,0,"0.00%","1.095M","121,442",3.127e+12,"8.43",NA
"GROREIT.BK","Grande Royal Orchid Hospitality Real Estate Investment Trust with Buy-Back Condition",9.85,0.1,"+1.03%","316","33,808",3.103e+12,"25.92",NA
"SRICHA.BK","Sriracha Construction Public Company Limited",10,-0.1,"-0.99%","102,611","360,055",3.099e+12,"N/A",NA
"NVD.BK","Nirvana Daii Public Company Limited",1.99,0,"0.00%","336,100","424,808",3.091e+12,"4.52",NA
"KBS.BK","Khonburi Sugar Public Company Limited",5.15,-0.1,"-1.90%","506,702","1.031M",3.09e+12,"6.44",NA
"RML.BK","Raimon Land Public Company Limited",0.74,0,"0.00%","1.75M","2.746M",3.088e+12,"N/A",NA
"MK.BK","M.K. Real Estate Development Public Company Limited",2.8,0,"0.00%","53,333","59,373",3.055e+12,"N/A",NA
"MFC.BK","MFC Asset Management Public Company Limited",24.3,-0.2,"-0.82%","36,515","23,759",3.052e+12,"12.86",NA
"APCO.BK","Asian Phytoceuticals Public Company Limited",5.05,-0.05,"-0.98%","46,441","110,349",3.03e+12,"42.08",NA
"TTCL.BK","TTCL Public Company Limited",4.9,0.02,"+0.41%","1.316M","2.662M",3.018e+12,"4.80",NA
"SYNTEC.BK","Syntec Construction Public Company Limited",1.89,-0.02,"-1.05%","1.77M","1.614M",3.007e+12,"N/A",NA
"TTT.BK","Toray Textiles (Thailand) Public Company Limited",51.75,-0.75,"-1.43%","1,701","1,143",2.993e+12,"67.21",NA
