"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"COM7.BK","Com7 Public Company Limited",32.75,0,"0.00%","8.027M","9.997M",7.8109e+13,"25.99",NA
"TU.BK","Thai Union Group Public Company Limited",16.5,0,"0.00%","7.657M","24.858M",7.6805e+13,"10.19",NA
"SAWAD.BK","Srisawad Corporation Public Company Limited",55.75,0.25,"+0.45%","5.264M","10.207M",7.6553e+13,"17.37",NA
"TIDLOR.BK","Ngern Tid Lor Public Company Limited",30.25,-0.25,"-0.82%","18.659M","11.288M",7.5545e+13,"21.45",NA
"TOA.BK","TOA Paint (Thailand) Public Company Limited",35,0,"0.00%","6.398M","1.67M",7.1015e+13,"43.75",NA
"CENTEL.BK","Central Plaza Hotel Public Company Limited",51.25,-0.25,"-0.49%","921,349","4.918M",6.9188e+13,"1,025.00",NA
"TFMAMA.BK","Thai President Foods Public Company Limited",200,-2,"-0.99%","2,603","2,914",6.5941e+13,"23.36",NA
"RAM.BK","Ramkhamhaeng Hospital Public Company Limited",53.75,-0.25,"-0.46%","180,906","496,481",6.45e+13,"18.41",NA
"IRPC.BK","IRPC Public Company Limited",3.14,-0.02,"-0.63%","57.749M","72.473M",6.4089e+13,"12.56",NA
"KKP.BK","Kiatnakin Phatra Bank Public Company Limited",73.25,1,"+1.38%","5.045M","4.224M",6.2025e+13,"7.57",NA
"JMART.BK","Jay Mart Public Company Limited",40,-1,"-2.44%","16.858M","5.51M",5.8293e+13,"17.24",NA
"WHA.BK","WHA Corporation Public Company Limited",3.9,0.06,"+1.56%","84.343M","91.896M",5.8293e+13,"17.73",NA
"KCE.BK","KCE Electronics Public Company Limited",49,-0.5,"-1.01%","17.141M","16.861M",5.7917e+13,"23.00",NA
"THG.BK","Thonburi Healthcare Group Public Company Limited",68.25,0,"0.00%","775,303","4.971M",5.784e+13,"28.68",NA
"BYD.BK","Beyond Securities Public Company Limited",12.8,-0.1,"-0.78%","3.619M","7.509M",5.4096e+13,"320.00",NA
"BAM.BK","Bangkok Commercial Asset Management Public Company Limited",16.4,0.2,"+1.23%","12.8M","22.24M",5.3005e+13,"18.85",NA
"M.BK","MK Restaurant Group Public Company Limited",57.5,0.75,"+1.32%","3.268M","1.009M",5.295e+13,"35.06",NA
"CPNREIT.BK","CPN Retail Growth Leasehold REIT",20.6,0.7,"+3.52%","3.709M","890,762",5.2901e+13,"16.89",NA
"BCH.BK","Bangkok Chain Hospital Public Company Limited",21.2,0,"0.00%","2.887M","13.765M",5.2873e+13,"10.05",NA
"VGI.BK","VGI Public Company Limited",4.66,-0.02,"-0.43%","14.348M","35.318M",5.2166e+13,"N/A",NA
"BPP.BK","Banpu Power Public Company Limited",17,0.5,"+3.03%","4.221M","944,513",5.1811e+13,"8.25",NA
"BCP.BK","Bangchak Corporation Public Company Limited",36.75,0.25,"+0.68%","10.267M","7.333M",5.0255e+13,"3.73",NA
"BLA.BK","Bangkok Life Assurance Public Company Limited",28.75,0.25,"+0.88%","1.392M","4.73M",4.9093e+13,"15.29",NA
"SCCC.BK","Siam City Cement Public Company Limited",160,1,"+0.63%","155,852","153,016",4.768e+13,"12.48",NA
"AEONTS.BK","AEON Thana Sinsap (Thailand) Public Company Limited",187.5,0,"0.00%","836,232","365,157",4.6875e+13,"11.62",NA
"SPRC.BK","Star Petroleum Refining Public Company Limited",10.7,-0.2,"-1.83%","17.718M","21.239M",4.6394e+13,"5.02",NA
"SPALI.BK","Supalai Public Company Limited",23.7,0.5,"+2.16%","8.31M","11.419M",4.6294e+13,"5.20",NA
